City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Rumonge,-3.9736,29.4386,70.11,79,100,4.5,BI,2021-11-22 02:29:59
147,Ixtapa,20.7,-105.2,78.03,78,1,2.3,MX,2021-11-22 02:29:59
148,Tocopilla,-22.092,-70.1979,65.48,68,85,2.89,CL,2021-11-22 02:30:00
149,Bethel,41.3712,-73.414,52.16,88,90,3.0,US,2021-11-22 02:30:00
150,Xapuri,-10.6517,-68.5044,77.58,77,85,2.06,BR,2021-11-22 02:30:01
151,Kavieng,-2.5744,150.7967,85.57,70,99,10.33,PG,2021-11-22 02:30:01
152,Cururupu,-1.8283,-44.8683,76.66,88,77,3.18,BR,2021-11-22 02:30:02
153,Caramay,10.1815,119.236,84.52,75,58,4.43,PH,2021-11-22 02:30:02
154,Mount Isa,-20.7333,139.5,92.97,26,0,8.05,AU,2021-11-22 02:30:03
155,Durusu,41.3053,28.6767,53.78,91,0,5.01,TR,2021-11-22 02:30:03
156,Vila,42.0304,-8.1588,40.33,90,32,6.51,PT,2021-11-22 02:30:04
157,Sangamner,19.5667,74.2167,75.25,83,99,2.44,IN,2021-11-22 02:30:04
158,Monrovia,6.3005,-10.7969,78.37,83,24,5.39,LR,2021-11-22 02:30:05
159,Dergachi,51.2328,48.7659,42.44,88,100,23.98,RU,2021-11-22 02:30:06
160,Ilulissat,69.2167,-51.1,24.82,74,90,11.5,GL,2021-11-22 02:30:06
161,Hithadhoo,-0.6,73.0833,80.42,80,90,8.55,MV,2021-11-22 02:30:07
162,Cabo San Lucas,22.8909,-109.9124,76.3,71,1,1.99,MX,2021-11-22 02:30:02
163,Muisne,0.6,-80.0333,74.17,81,100,8.59,EC,2021-11-22 02:30:08
164,Palu,-0.8917,119.8707,88.7,64,100,2.17,ID,2021-11-22 02:30:08
165,Samarai,-10.6167,150.6667,84.78,73,49,15.61,PG,2021-11-22 02:30:09
166,Sitka,57.0531,-135.33,42.69,87,90,10.36,US,2021-11-22 02:30:09
167,Huntsville,34.7304,-86.5861,59.2,97,90,1.99,US,2021-11-22 02:27:16
168,Sorong,-0.8833,131.25,85.03,68,97,5.99,ID,2021-11-22 02:30:10
169,Torbay,47.6666,-52.7314,30.27,83,20,4.61,CA,2021-11-22 02:30:10
170,Napasar,27.9667,73.55,68.86,18,0,3.74,IN,2021-11-22 02:30:11
171,Northam,51.0333,-4.2167,41.31,75,7,16.2,GB,2021-11-22 02:30:11
172,Damietta,31.4165,31.8133,62.49,85,12,10.83,EG,2021-11-22 02:30:12
173,Sinnamary,5.3833,-52.95,78.4,87,9,7.9,GF,2021-11-22 02:30:12
174,Jega,12.2175,4.3792,74.41,22,1,6.87,NG,2021-11-22 02:30:13
175,Guerrero Negro,27.9769,-114.0611,65.98,71,100,8.9,MX,2021-11-22 02:30:14
176,Hilo,19.7297,-155.09,80.33,74,20,10.36,US,2021-11-22 02:28:58
177,Kjollefjord,70.9457,27.3465,27.93,57,99,18.28,NO,2021-11-22 02:30:15
178,Erenhot,43.6475,111.9767,14.72,30,0,14.52,CN,2021-11-22 02:30:15
179,Porlamar,10.958,-63.8491,80.69,83,100,11.5,VE,2021-11-22 02:30:16
180,Cabra,37.4725,-4.4421,55.9,95,94,3.51,ES,2021-11-22 02:30:17
181,Harindanga,22.0383,88.3214,76.98,49,9,5.39,IN,2021-11-22 02:30:17
